station,date,PL,EPF,VSF,CF_data,AERSI,confidence,city,state,latitude,longitude
"Okhla Phase-2, Delhi - DPCC",2026-09-09,1.4619,1.5667,1.3157,1.0,1.4487,High,Delhi,Delhi,28.530785,77.271255
"Old City, Sri Ganganagar - RSPCB",2026-09-09,1.332,1.7459,1.2459,0.99,1.4016,High,Sri Ganganagar,Rajasthan,29.931624,73.864511
"Old MIDC, Jalna - MPCB",2026-09-09,1.2004,1.043,1.1796,0.88,1.1539,High,Jalna,Maharashtra,19.854616,75.905894
"Omex Eternity, Vrindavan - UPPCB",2026-09-09,1.3364,1.207,1.1681,0.98,1.2597,High,Vrindavan,Uttar Pradesh,27.571409,77.655757
"Opp GPO Civil Lines, Nagpur - MPCB",2026-09-09,1.0023,1.0,1.2055,0.97,1.049,High,Nagpur,Maharashtra,21.152875,79.0517531
"PCBL Residential Complex, Durgapur - WBPCB",2026-09-09,1.1218,1.2556,1.1519,0.95,1.1615,High,Durgapur,West Bengal,23.508764,87.35444
"PWD Junction, Kohima - NPCB",2026-09-09,0.7005,1.0,1.0836,1.0,0.854,High,Kohima,Nagaland,25.6635413,94.0989878
"Padmapukur, Howrah - WBPCB",2026-09-09,1.1101,1.0373,1.2296,0.94,1.1197,High,Howrah,West Bengal,22.5687319,88.2797276
"Pali Dungra, Mathura - UPPCB",2026-09-09,1.1025,1.1695,1.1808,0.99,1.1382,High,Mathura,Uttar Pradesh,27.410954,77.550619
"Pallavpuram Phase 2, Meerut - UPPCB",2026-09-09,1.7606,1.6556,1.6468,0.98,1.705,High,Meerut,Uttar Pradesh,29.06351,77.709723
"Pan Bazaar, Guwahati - PCBA",2026-09-09,0.6173,1.0,1.0278,0.75,0.7911,Medium,Guwahati,Assam,26.1875,91.744194
"Panchal Nagar, Gadag - KSPCB",2026-09-09,1.531,1.5866,1.1506,0.98,1.4382,High,Gadag,Karnataka,15.411456,75.638133
"Panchawati_Pashan, Pune - IITM",2026-09-09,1.0421,1.0,1.1107,0.9,1.048,High,Pune,Maharashtra,18.536457,73.805454
"Pandav Nagari, Nashik - MPCB",2026-09-09,0.7228,1.0,1.1107,1.0,0.8728,High,Nashik,Maharashtra,19.9591346,73.7788008
