station,date,PL,EPF,VSF,CF_data,AERSI,confidence,city,state,latitude,longitude
" Chhatikara, Vrindavan - UPPCB",2026-09-09,1.433,1.0,1.0,0.71,1.1971,Medium,Vrindavan,Uttar Pradesh,27.57194,77.62346
" Indira Nagar, Raebareli - NTPC Unchahar",2026-09-09,1.2405,1.0,1.0299,0.98,1.122,High,Raebareli,Uttar Pradesh,26.207781,81.245571
"15th Mile-Nongthymmai, Byrnihat -Meghalaya PCB",2026-09-09,1.7112,1.4216,1.8522,0.72,1.6664,Medium,Byrnihat,Meghalaya,26.079047,91.875185
"32Bungalows, Bhilai - CECB",2026-09-09,0.8013,1.0,1.1471,1.0,0.9264,High,Bhilai,Chhattisgarh,21.194815,81.31477
"AIIMS, Raipur - CECB",2026-09-09,0.7959,1.0,1.1615,1.0,0.9262,High,Raipur,Chhattisgarh,21.258815,81.578979
"Adarsh Nagar, Jaipur - RSPCB",2026-09-09,1.3876,1.2148,1.1498,0.96,1.2806,High,Jaipur,Rajasthan,26.902909,75.836858
"Airport Area, Indore - IMC",2026-09-09,1.2182,1.1491,1.391,0.94,1.241,High,Indore,Madhya Pradesh,22.7289,75.8076
"Alipur, Delhi - DPCC",2026-09-09,1.5728,1.5756,1.5288,0.87,1.5624,High,Delhi,Delhi,28.815329,77.15301
"Ambazari, Nagpur - MPCB",2026-09-09,1.069,1.0,1.1856,0.99,1.0789,High,Nagpur,Maharashtra,21.121801,79.04952
"Ambedkar Nagar, Nellore - APPCB ",2026-09-09,1.4406,1.2712,1.2501,0.99,1.3476,High,Nellore,Andhra Pradesh,14.438164,79.966814
"Amity University, Panchgaon - IITM",2026-09-09,1.5286,1.4382,1.6272,0.95,1.5292,High,Panchgaon,Haryana,28.3153,76.9143
"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-09-09,1.0434,1.0333,1.1707,1.0,1.0712,High,Rajamahendravaram,Andhra Pradesh,16.9872867,81.7363176
"Anand Nagar, Raebareli - UPPCB",2026-09-09,1.5047,1.2214,1.0,0.87,1.2896,High,Raebareli,Uttar Pradesh,26.219512,81.237648
"Anand Vihar, Delhi - DPCC",2026-09-09,2.5446,1.8235,1.4506,0.96,2.0343,High,Delhi,Delhi,28.647622,77.315809
"Anand Vihar, Hapur - UPPCB",2026-09-09,1.5091,1.5217,1.7275,0.94,1.5642,High,Hapur,Uttar Pradesh,28.725645,77.749675
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",2026-09-09,2.264,2.0,1.6327,0.9,2.0227,High,Gummidipoondi,Tamil Nadu,13.4127,80.1081
"Ardhali Bazar, Varanasi - UPPCB",2026-09-09,1.1183,1.0389,1.206,0.92,1.1188,High,Varanasi,Uttar Pradesh,25.3505986,82.9083074
"Arumbakkam, Chennai - TNPCB",2026-09-09,1.2626,1.0333,1.2501,0.9,1.1979,High,Chennai,Tamil Nadu,13.0664,80.2112
"Arya Nagar, Bahadurgarh - HSPCB",2026-09-09,1.4142,1.2,1.2505,1.0,1.3162,High,Bahadurgarh,Haryana,28.6701,76.9254
"Asansol Court Area, Asansol - WBPCB",2026-09-09,1.1751,1.0,1.2036,1.0,1.1354,High,Asansol,West Bengal,23.685297,86.945968
"Ashok Nagar, Udaipur - RSPCB",2026-09-09,1.5191,1.483,1.279,0.98,1.4464,High,Udaipur,Rajasthan,24.5886166,73.6321397
"Ashok Vihar, Delhi - DPCC",2026-09-09,1.5665,1.7459,1.4087,0.99,1.5674,High,Delhi,Delhi,28.695381,77.181665
"Ashta Vinayak Nagar, Hingoli - MPCB",2026-09-09,1.0764,1.0667,1.1625,1.0,1.0948,High,Hingoli,Maharashtra,19.710842,77.151824
"Aya Nagar, Delhi - IITM",2026-09-09,1.4606,1.2667,1.2875,0.9,1.3657,High,Delhi,Delhi,28.4706914,77.1099364
"B R Ambedkar University, Lucknow - UPPCB",2026-09-09,1.1933,1.207,1.2423,0.98,1.2088,High,Lucknow,Uttar Pradesh,26.766433,80.927299
"Ballygunge, Kolkata - WBPCB",2026-09-09,1.1048,1.0,1.3016,0.99,1.1227,High,Kolkata,West Bengal,22.5367507,88.3638022
"Bamboliya, Baran - RSPCB",2026-09-09,0.9303,1.0,1.1678,0.98,1.0027,High,Baran,Rajasthan,25.106006,76.469948
"Bandhavgar Colony, Satna - Birla Cement",2026-09-09,1.3308,1.0,1.0,1.0,1.1536,High,Satna,Madhya Pradesh,24.58434363,80.8549414
"Bandra Kurla Complex, Mumbai - IITM",2026-09-09,0.9046,1.0,1.0776,0.89,0.969,High,Mumbai,Maharashtra,19.053536,72.84643
"Bandra Kurla Complex, Mumbai - MPCB",2026-09-09,0.943,1.0,1.1543,0.95,1.0066,High,Mumbai,Maharashtra,19.065931,72.862131
"Bapuji Nagar, Bengaluru - KSPCB",2026-09-09,1.1133,1.0,1.0887,0.99,1.0778,High,Bengaluru,Karnataka,12.951913,77.539784
"Bapunagar, Vadodara - Nexteng Enviro",2026-09-09,1.1716,1.0,1.1307,1.0,1.1162,High,Vadodara,Gujarat,22.320153,73.216285
"Bardowali, Agartala - Tripura SPCB",2026-09-09,1.1508,1.0333,1.208,1.0,1.1339,High,Agartala,Tripura,23.8175497,91.2726974
"Barsua Iron Ore Mines, Tensa - OSPCB",2026-09-09,0.8342,1.0,1.0666,0.88,0.9282,High,Tensa,Odisha,21.869985,85.167016
"Bata Chowk, Nalbari - PCBA",2026-09-09,1.3466,1.4845,1.5638,0.94,1.4324,High,Nalbari,Assam,26.446912,91.439057
"Bawana, Delhi - DPCC",2026-09-09,2.0309,1.7877,1.6404,0.96,1.8649,High,Delhi,Delhi,28.7762,77.051074
"Belur Math, Howrah - WBPCB",2026-09-09,1.1927,1.1667,1.4664,1.0,1.249,High,Howrah,West Bengal,22.629801,88.352017
"Bhatagaon New ISBT, Raipur - CECB",2026-09-09,0.681,1.0333,1.1651,1.0,0.8644,High,Raipur,Chhattisgarh,21.219665,81.630094
"Bhayandar West, Mira-Bhayandar - MPCB",2026-09-09,0.8017,1.0,1.0739,0.99,0.9115,High,Mira-Bhayandar,Maharashtra,19.296481,72.840923
"Bhelupur, Varanasi - UPPCB",2026-09-09,1.448,1.4068,1.3621,0.99,1.4158,High,Varanasi,Uttar Pradesh,25.301778,82.996789
"Bhoiwada, Dungarpur - RSPCB",2026-09-09,1.1684,1.0333,1.1674,1.0,1.1328,High,Dungarpur,Rajasthan,23.837789,73.714926
"Bhopal Chauraha, Dewas - MPPCB",2026-09-09,1.4665,1.0333,1.1368,1.0,1.2607,High,Dewas,Madhya Pradesh,22.9682591,76.064118
"Bhosari, Pune - IITM",2026-09-09,1.1904,1.0,1.1974,0.88,1.1413,High,Pimpri-Chinchwad,Maharashtra,18.640051,73.848956
"Bhumkar Nagar, Pune - IITM",2026-09-09,1.1586,1.0,1.2694,0.72,1.1425,Medium,Pimpri-Chinchwad,Maharashtra,18.60577,73.749976
"Bidhannagar, Kolkata - WBPCB",2026-09-09,1.0005,1.0,1.1948,0.97,1.0458,High,Kolkata,West Bengal,22.58157048,88.41002457
"Bir, Beed - MPCB",2026-09-09,0.8618,1.0,1.0997,1.0,0.9506,High,Beed,Maharashtra,18.988474,75.753873
"Bolinj, Virar - MPCB",2026-09-09,0.8529,1.0,1.1107,0.97,0.9481,High,Virar,Maharashtra,19.445821,72.7988231
"Bollaram Industrial Area, Hyderabad - TSPCB",2026-09-09,0.9462,1.0,1.0555,0.83,0.986,Medium,Hyderabad,Telangana,17.518,78.383
"Borivali East, Mumbai - IITM",2026-09-09,1.0707,1.0,1.0818,0.88,1.0553,High,Mumbai,Maharashtra,19.23241,72.86895
"Borivali East, Mumbai - MPCB",2026-09-09,0.8476,1.0,1.0444,0.84,0.9307,Medium,Mumbai,Maharashtra,19.2243333,72.8658113
"Botanical Garden, Howrah - WBPCB",2026-09-09,1.2403,1.2667,1.376,1.0,1.2797,High,Howrah,West Bengal,22.554954,88.292568
"Buddha Colony, Muzaffarpur - BSPCB",2026-09-09,1.171,1.2,1.3181,1.0,1.2136,High,Muzaffarpur,Bihar,26.11442,85.39813
"Buddhi Vihar, Moradabad - UPPCB",2026-09-09,1.2278,1.0333,1.2324,1.0,1.1771,High,Moradabad,Uttar Pradesh,28.83526,78.7446
"Burari Crossing, Delhi - IITM",2026-09-09,1.5866,1.4407,1.4243,0.89,1.5076,High,Delhi,Delhi,28.7256504,77.2011573
"Byculla, Mumbai - BMC",2026-09-09,0.7232,1.0,1.0739,1.0,0.8657,High,Mumbai,Maharashtra,18.9767,72.838
"CBD Belapur, Belapur - MPCB",2026-09-09,1.0458,1.0,1.196,0.97,1.0694,High,Belapur,Maharashtra,19.0243902,73.0406721
"CDA Area, Cuttack - OSPCB",2026-09-09,1.1416,1.0345,1.1856,0.98,1.1244,High,Cuttack,Odisha,20.48891,85.84768
"CRRI Mathura Road, Delhi - IITM",2026-09-09,1.6126,1.6,1.2758,0.9,1.5179,High,Delhi,Delhi,28.5512005,77.2735737
"Cantonment Area, Delhi - DPCC",2026-09-09,0.8729,1.0,1.2605,0.99,0.9899,High,Delhi,Delhi,28.594169,77.1251
"Central Academy for SFS, Byrnihat - PCBA",2026-09-09,1.7302,1.9832,1.2945,0.99,1.665,High,Byrnihat,Assam,26.071318,91.87488
"Central University, Hyderabad - TSPCB",2026-09-09,0.7575,1.0,1.1015,1.0,0.8916,High,Hyderabad,Telangana,17.460103,78.334361
"Chakala-Andheri East, Mumbai - IITM",2026-09-09,0.8067,1.0,1.1107,1.0,0.9221,High,Mumbai,Maharashtra,19.11074,72.86084
"Chalai Bazaar, Ramanathapuram - TNPCB",2026-09-02,0.5467,1.0,1.0,0.41,0.7394,Low,Ramanathapuram,Tamil Nadu,9.36399,78.831977
"Chandkheda, Ahmedabad - IITM",2026-09-09,1.2758,1.2,1.1856,1.0,1.2336,High,Ahmedabad,Gujarat,23.107969,72.574648
"Chandni Chowk, Delhi - IITM",2026-09-09,1.5655,1.7,1.4176,1.0,1.5589,High,Delhi,Delhi,28.656756,77.227234
"Charitra Van, Buxar - BSPCB",2026-09-09,2.2947,1.2582,1.0,0.72,1.6044,Medium,Buxar,Bihar,25.56752,83.966379
"Chauhan Colony, Chandrapur - MPCB",2026-09-09,1.2611,1.2667,1.4331,1.0,1.3035,High,Chandrapur,Maharashtra,19.9629,79.298714
"Chembur, Mumbai - MPCB",2026-09-09,0.7726,1.0,1.0666,0.98,0.8932,High,Mumbai,Maharashtra,19.0364585,72.8954371
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2026-09-09,1.0298,1.0,1.096,0.86,1.0383,High,Mumbai,Maharashtra,19.10078,72.87462
"Chhoti Gwaltoli, Indore - MPPCB",2026-09-09,1.4847,1.1333,1.1109,1.0,1.2907,High,Indore,Madhya Pradesh,22.431,75.5213
"Chikkaballapur Rural, Chikkaballapur - KSPCB",2026-09-09,0.7854,1.0381,1.2186,0.93,0.9399,High,Chikkaballapur,Karnataka,13.428828,77.731418
"Chinchpada, Ambernath - MPCB",2026-09-09,1.1353,1.0667,1.3115,1.0,1.1588,High,Ambernath,Maharashtra,19.215784,73.199781
"Chinna Bharatham Colony, Srikakulam - APPCB",2026-09-06,1.2781,1.1118,1.3157,0.94,1.2433,High,Srikakulam,Andhra Pradesh,18.292191,83.897173
"Chitragupta Nagar, Siwan - BSPCB",2026-09-07,1.4675,1.7614,1.0757,0.93,1.4213,High,Siwan,Bihar,26.2271665,84.3570427
"Christianpatty, Nagaon - PCBA",2026-09-09,1.2402,1.3939,1.2447,0.96,1.2781,High,Nagaon,Assam,26.349082,92.68449
"City Center, Gwalior - MPPCB",2026-09-09,1.3966,1.0667,1.1674,1.0,1.2484,High,Gwalior,Madhya Pradesh,26.203442,78.193251
"City Railway Station, Bengaluru - KSPCB",2026-09-05,1.1874,1.0389,1.0222,0.72,1.1062,Medium,Bengaluru,Karnataka,12.9756843,77.5660749
"Civic Center, Bhilai - Bhilai Steel Plant",2026-09-09,0.6582,1.0,1.0056,0.95,0.8124,High,Bhilai,Chhattisgarh,21.185571,81.343175
"Civil Line, Jalandhar - PPCB",2026-09-09,1.6435,1.6,1.4395,1.0,1.5793,High,Jalandhar,Punjab,31.321907,75.578914
"Civil Lines,  Ajmer - RSPCB",2026-09-09,1.4055,1.3667,1.1524,1.0,1.3281,High,Ajmer,Rajasthan,26.470859,74.646594
"Civil Lines, Bareilly - UPPCB",2026-09-09,1.0154,1.0,1.075,0.98,1.0261,High,Bareilly,Uttar Pradesh,28.359581,79.414455
"Civil Lines, Sagar - MPPCB",2026-09-09,0.9732,1.0339,1.0813,0.99,1.0144,High,Sagar,Madhya Pradesh,23.838586,78.759431
"Collector Office, Yadgir - KSPCB",2026-09-09,0.7386,1.0,1.0776,0.94,0.8756,High,Yadgir,Karnataka,16.7602,77.1428
"Collectorate, Gaya - BSPCB",2026-09-09,1.8254,1.6642,1.973,0.77,1.8187,Medium,Gaya,Bihar,24.7955,84.9994
"Collectorate, Jodhpur - RSPCB",2026-09-09,1.2337,1.0339,1.1107,0.99,1.1498,High,Jodhpur,Rajasthan,26.268249,73.0193853
"Commonwealth Sports Complex, Delhi - DPCC",2026-09-09,1.5093,1.6333,1.442,1.0,1.522,High,Delhi,Delhi,28.615828,77.271992
"Corporation Ground, Thrissur - Kerala PCB",2026-09-09,1.2325,1.0,1.0375,0.94,1.1205,High,Thrissur,Kerala,10.5324,76.2159
"D M Colony, Bihar Sharif - BSPCB",2026-09-09,1.5995,1.0913,1.9995,0.74,1.5371,Medium,Bihar Sharif,Bihar,25.204762,85.51496
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-09-08,1.7527,1.8199,1.5146,0.94,1.7058,High,Bhagalpur,Bihar,25.251013,86.989001
"DM Office_Kasipur, Samastipur - BSPCB",2026-09-09,1.6837,1.6852,1.934,0.93,1.7435,High,Samastipur,Bihar,25.859655,85.77944
"DRM Office Danapur, Patna - BSPCB",2026-09-09,1.2396,1.0,1.1004,1.0,1.1403,High,Patna,Bihar,25.586562,85.043586
"DTU, Delhi - CPCB",2026-09-09,1.4683,1.4,1.442,1.0,1.4444,High,Delhi,Delhi,28.7500499,77.1112615
"Dabuna, Nayagarh - OSPCB",2026-09-09,1.2655,1.244,1.2084,0.84,1.2456,Medium,Nayagarh,Odisha,21.847279,85.416905
"Dada Peer, Sasaram - BSPCB",2026-09-09,1.5254,1.4781,1.8888,0.91,1.5965,High,Sasaram,Bihar,24.952822,84.002396
"Dadupura, Fatehpur Sikri - UPPCB",2026-09-09,1.1083,1.069,1.1297,0.98,1.1036,High,Fatehpur Sikri,Uttar Pradesh,27.097694,77.671335
"Dangi Tola, Rajgir - BSPCB",2026-09-09,1.0021,1.0,1.0,0.72,1.0011,Medium,Rajgir,Bihar,25.0328,85.41948
"Darshan Nagar, Chhapra - BSPCB",2026-09-09,1.6715,1.9487,1.0,0.97,1.5275,High,Chhapra,Bihar,25.7808257,84.7446768
"Dasnagar, Howrah - WBPCB",2026-09-09,1.3206,1.4297,1.5419,0.96,1.4003,High,Howrah,West Bengal,22.6025571,88.3105664
"Deen Dayal Nagar, Gwalior - MPPCB",2026-09-09,1.1887,1.0333,1.2591,1.0,1.1644,High,Gwalior,Madhya Pradesh,26.259242,78.216432
"Deonar, Mumbai - IITM",2026-09-09,0.8227,1.0,1.1543,1.0,0.9402,High,Mumbai,Maharashtra,19.04946,72.923
"Deopur, Dhule - MPCB",2026-09-09,0.8696,1.0,1.1107,1.0,0.9573,High,Dhule,Maharashtra,20.918946,74.776388
"Devaraj Urs Badavane, Davanagere - KSPCB",2026-09-08,0.8372,1.0,1.1651,0.79,0.9507,Medium,Davanagere,Karnataka,14.4758,75.9052
"Dhankawadi, Pune - IITM",2026-09-09,1.008,1.0,1.1107,0.88,1.0307,High,Pune,Maharashtra,18.459883,73.852193
"Dhanmandi, Kota - RSPCB",2026-09-09,1.071,1.0,1.1507,1.0,1.0719,High,Kota,Rajasthan,25.16409,75.858137
"Dhoinda, Rajsamand - RSPCB",2026-09-09,1.2606,1.0339,1.1325,0.99,1.1679,High,Rajsamand,Rajasthan,25.03636,73.883502
"Digari Kalan, Jodhpur - RSPCB",2026-09-09,1.0659,1.1,1.1325,1.0,1.0907,High,Jodhpur,Rajasthan,26.29581,73.082283
"District Court, Eluru - APPCB",2026-09-09,1.321,1.0,1.1491,0.97,1.19,High,Eluru,Andhra Pradesh,16.711754,81.092095
"Divisional Forest Office, Rairangpur - OSPCB",2026-09-09,0.8639,1.0,1.1553,0.95,0.9636,High,Rairangpur,Odisha,22.265816,86.174829
"Dnyaneshwar Nagar, Solapur - MPCB",2026-09-09,0.7894,1.0,1.0997,1.0,0.9098,High,Solapur,Maharashtra,17.6336264,75.9132495
"Doon University, Dehradun - UKPCB",2026-09-09,1.0009,1.1142,1.1974,0.93,1.0752,High,Dehradun,Uttarakhand,30.269444,78.044167
"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-09-09,1.3593,1.4333,1.4261,1.0,1.3941,High,Delhi,Delhi,28.498571,77.26484
"Dwarka-Sector 8, Delhi - DPCC ",2026-09-09,1.411,1.8,1.5364,1.0,1.5318,High,Delhi,Delhi,28.5710274,77.0719006
"ECIL Kapra, Hyderabad - TSPCB",2026-09-09,1.1493,1.0,1.1122,0.99,1.1009,High,Hyderabad,Telangana,17.470431,78.566959
"Eco Herbal Park, Moradabad - UPPCB",2026-09-09,1.2105,1.1017,1.3845,0.99,1.2227,High,Moradabad,Uttar Pradesh,28.840739,78.697531
"Employment Office, Moradabad - UPPCB",2026-09-09,1.3837,1.2373,1.2616,0.99,1.3148,High,Moradabad,Uttar Pradesh,28.88528,78.7388
"Evelyn Lodge, Asansol - WBPCB",2026-09-09,0.9881,1.0,1.0,0.99,0.994,High,Asansol,West Bengal,23.697936,86.944395
"F-Block, Sirsa - HSPCB",2026-09-09,1.3234,1.1695,1.1468,0.99,1.238,High,Sirsa,Haryana,29.5364,75.0158
"FTI Kidwai Nagar, Kanpur - UPPCB",2026-09-09,1.4224,1.3333,1.3604,1.0,1.3841,High,Kanpur,Uttar Pradesh,26.428282,80.327067
"Ferro Chrome Colony, Byasanagar - OSPCB",2026-09-09,1.3523,1.2981,1.3621,0.94,1.341,High,Byasanagar,Odisha,20.94185,86.1151
"Fertilizer Township, Rourkela - OSPCB",2026-09-09,1.1252,1.0,1.1122,0.82,1.0893,Medium,Rourkela,Odisha,22.18972222,84.86277778
"Forest Office, Barbil - OSPCB",2026-09-09,1.2766,1.2415,1.5902,0.98,1.3393,High,Barbil,Odisha,22.1166054,85.3945546
"Forest Rest House, Manguraha - BSPCB",2026-09-07,1.5569,1.2041,1.3413,0.9,1.4066,High,Manguraha,Bihar,27.308328,84.531742
"Fort William, Kolkata - WBPCB",2026-09-09,1.1851,1.0351,1.3588,0.97,1.1855,High,Kolkata,West Bengal,22.55664,88.342674
"GIDC, Ankleshwar - GPCB",2026-09-09,1.253,1.0,1.0902,0.98,1.1438,High,Ankleshwar,Gujarat,21.613267,73.010555
"GIDC, Nandesari - Nandesari Ind. Association",2026-09-09,1.3859,1.1035,1.2917,0.88,1.2863,High,Nandesari,Gujarat,22.410802,73.097923
"GIFT City, Gandhinagar - IITM",2026-09-09,1.2439,1.1333,1.1222,1.0,1.1844,High,Gandhinagar,Gujarat,23.163798,72.677768
"GM Office, Brajrajnagar - OSPCB",2026-09-09,1.2542,1.1667,1.1651,1.0,1.2092,High,Brajrajnagar,Odisha,21.8004996,83.8396977
"GVM Corporation, Visakhapatnam - APPCB",2026-09-09,1.5942,1.6325,1.2945,0.97,1.5223,High,Visakhapatnam,Andhra Pradesh,17.72,83.3
"Gandak Colony, Motihari - BSPCB",2026-09-09,1.1294,1.1594,1.1325,0.91,1.1376,High,Motihari,Bihar,26.63086,84.90051
"Ganga Nagar, Meerut - UPPCB",2026-09-09,1.5758,1.3581,1.6981,0.96,1.5469,High,Meerut,Uttar Pradesh,28.999264,77.7590354
"Gangapur Road, Nashik - MPCB",2026-09-09,0.8693,1.0333,1.1651,1.0,0.9767,High,Nashik,Maharashtra,20.0073285,73.7762427
"Gangineni Cheruvu, Chittoor - APPCB",2026-09-09,1.5697,1.7668,1.5078,0.95,1.6007,High,Chittoor,Andhra Pradesh,13.20488,79.097889
"Gavalinagar, Pimpri Chinchwad - MPCB",2026-09-09,0.94,1.0,1.1033,0.99,0.9936,High,Pimpri-Chinchwad,Maharashtra,18.63673,73.82487
"General Hospital, Mandikhera(Nuh) - HSPCB",2026-09-08,1.3872,1.2858,1.1856,0.9,1.3087,High,Mandikhera,Haryana,27.9002,76.9938
"Ghatkopar, Mumbai - BMC",2026-09-09,0.8658,1.0,1.0997,0.96,0.9529,High,Mumbai,Maharashtra,19.083694,72.920967
"Ghusuri, Howrah - WBPCB",2026-09-09,1.4852,1.5,1.4699,1.0,1.485,High,Howrah,West Bengal,22.611968,88.347422
"Girls College, Sivasagar - PCBA",2026-09-09,0.9256,1.0,1.1416,0.98,0.9944,High,Sivasagar,Assam,26.987634,94.636574
"Gobind Pura, Yamuna Nagar - HSPCB",2026-09-09,1.7096,1.9154,1.5751,0.99,1.7232,High,Yamuna Nagar,Haryana,30.1480566,77.2893471
"Gokul Nagar, Bhiwandi - MPCB",2026-09-09,0.9687,1.0339,1.0666,0.99,1.0086,High,Bhiwandi,Maharashtra,19.309073,73.057223
"Golden Temple, Amritsar - PPCB",2026-09-09,1.592,1.8476,1.6403,0.99,1.6647,High,Amritsar,Punjab,31.62,74.876512
"Gole Bazar, Katni - MPPCB",2026-09-09,1.138,1.0,1.214,0.99,1.1198,High,Katni,Madhya Pradesh,23.50016,80.23284
"Gomti Nagar, Lucknow - UPPCB",2026-09-09,1.1892,1.1356,1.3978,0.99,1.224,High,Lucknow,Uttar Pradesh,26.86812,81.005119
"Govindh Bhavan Colony, Jabalpur - JMC",2026-09-09,1.0554,1.0,1.0279,0.99,1.0344,High,Jabalpur,Madhya Pradesh,23.163174,79.973061
"Govindpuram, Ghaziabad - UPPCB",2026-09-09,1.1985,1.2108,1.2498,0.97,1.2142,High,Ghaziabad,Uttar Pradesh,28.694528,77.494705
"Govt. Girls Inter College, Kashipur - UKPCB",2026-09-09,1.0131,1.0,1.0,0.71,1.0065,Medium,Kashipur,Uttarakhand,29.2124114,78.9611753
"Govt. High School Shikarpur, Patna - BSPCB",2026-09-09,1.2385,1.0358,1.0776,0.96,1.1439,High,Patna,Bihar,25.592539,85.227158
"Govt. Higher Secondary School, Milupara - CECB",2026-09-09,0.9365,1.0,1.1902,0.87,1.0108,High,Milupara,Chhattisgarh,22.1910172,83.5197009
"Gulzarpet, Anantapur - APPCB",2026-09-09,1.4866,1.7379,1.4261,0.97,1.5298,High,Anantapur,Andhra Pradesh,14.675886,77.593027
"Gupteshwar, Jabalpur - JMC",2026-08-24,1.2723,1.0,1.0836,0.81,1.1508,Medium,Jabalpur,Madhya Pradesh,23.142888,79.916147
"Gurdeo Nagar, Aurangabad - BSPCB",2026-09-04,1.4419,1.4082,1.2945,0.75,1.3953,Medium,Aurangabad,Bihar,24.75746,84.366208
"Gyaspur, Ahmedabad - IITM",2026-09-09,1.435,1.5425,1.1503,0.99,1.3825,High,Ahmedabad,Gujarat,22.977134,72.553024
"H.B. Colony, Bhiwani - HSPCB",2026-09-09,1.5206,1.4382,1.1307,0.95,1.3925,High,Bhiwani,Haryana,28.806223,76.141105
"HB Colony, Vijayawada - APPCB",2026-09-09,1.3386,1.1074,1.2569,0.96,1.2567,High,Vijayawada,Andhra Pradesh,16.536107,80.594233
"HIMUDA Complex Phase-1, Baddi - HPPCB",2026-09-09,1.5431,1.7333,1.5146,1.0,1.5812,High,Baddi,Himachal Pradesh,30.943887,76.801991
"Hadapsar, Pune - IITM",2026-09-09,1.2559,1.0,1.1122,0.86,1.1508,High,Pune,Maharashtra,18.501793,73.927532
"Hakimapada, Angul - OSPCB",2026-09-09,1.014,1.0,1.3365,1.0,1.0827,High,Angul,Odisha,20.832874,85.104082
"Hardev Nagar, Bathinda - PPCB",2026-09-09,1.3941,1.207,1.2917,0.88,1.3194,High,Bathinda,Punjab,30.233011,74.907758
"Hathkhoj, Bhilai - CECB",2026-09-09,0.9961,1.0,1.2488,1.0,1.0551,High,Bhilai,Chhattisgarh,21.224231,81.40835
"Hebbal 1st Stage, Mysuru - KSPCB",2026-09-09,0.968,1.0,1.1434,0.99,1.0174,High,Mysuru,Karnataka,12.21041,76.37376
"Hebbal, Bengaluru - KSPCB",2026-09-09,0.8289,1.0,1.1107,0.98,0.9347,High,Bengaluru,Karnataka,13.029152,77.585901
"Hirawadi, Nashik - MPCB",2026-09-09,0.8204,1.0,1.0813,0.95,0.9237,High,Nashik,Maharashtra,20.021503,73.813844
"Hombegowda Nagar, Bengaluru - KSPCB",2026-09-09,1.0256,1.0,1.0926,1.0,1.0354,High,Bengaluru,Karnataka,12.938539,77.5901
"Housing Board, Hanumangarh - RSPCB",2026-09-09,1.1358,1.0,1.1808,0.99,1.1109,High,Hanumangarh,Rajasthan,29.61075,74.283608
"Huda Sector, Fatehabad - HSPCB",2026-09-09,1.3629,1.3581,1.1185,0.96,1.2961,High,Fatehabad,Haryana,29.503664,75.467934
"ICRISAT Patancheru, Hyderabad - TSPCB",2026-09-09,0.9057,1.0,1.1867,0.99,0.9933,High,Hyderabad,Telangana,17.5184,78.278777
"IDA Pashamylaram, Hyderabad - TSPCB",2026-09-09,1.1113,1.0,1.2216,0.95,1.1082,High,Hyderabad,Telangana,17.5316895,78.218939
"IESD Banaras Hindu University, Varanasi - UPPCB",2026-09-09,0.8249,1.0,1.2009,0.96,0.9508,High,Varanasi,Uttar Pradesh,25.262326,82.995408
"IGI Airport (T3), Delhi - IITM",2026-09-09,1.6821,1.4216,1.2666,0.87,1.5024,High,Delhi,Delhi,28.5627763,77.1180053
"IGNOU_Maidan Garhi, Delhi - DPCC",2026-09-09,0.9088,1.1333,1.2292,1.0,1.0357,High,Delhi,Delhi,28.493624,77.201159
"IGSC Planetarium Complex, Patna - BSPCB",2026-09-09,1.5099,1.1291,1.9943,0.62,1.5052,Low,Patna,Bihar,25.610369,85.132568
"IHBAS, Dilshad Garden, Delhi - CPCB",2026-09-09,1.4909,1.4407,1.2505,0.99,1.4146,High,Delhi,Delhi,28.6811736,77.3025234
"IIPHG Lekawada, Gandhinagar - IITM",2026-09-09,1.0914,1.3,1.2076,1.0,1.1694,High,Gandhinagar,Gujarat,23.243639,72.68994
"IIT Delhi, Delhi - IITM",2026-09-09,1.5866,1.712,1.3241,0.89,1.5455,High,Delhi,Delhi,28.54246,77.191651
"IITG, Guwahati - PCBA",2026-09-09,0.6316,1.0,1.0,0.89,0.7948,High,Guwahati,Assam,26.2028636,91.70046436
"IITH Kandi, Hyderabad - TSPCB",2026-09-09,1.1694,1.0,1.0928,0.95,1.1057,High,Hyderabad,Telangana,17.585705,78.126199
"IMD Lodhi Road, Delhi - IITM",2026-09-09,1.5192,1.3729,1.3849,0.89,1.4474,High,Delhi,Delhi,28.5918245,77.2273074
"ITO, Delhi - CPCB",2026-09-09,1.5795,1.3286,1.1974,0.95,1.4115,High,Delhi,Delhi,28.628624,77.24106
"Ibrahimpur, Vijayapura - KSPCB",2026-09-09,0.9445,1.0,1.0,0.95,0.9719,High,Vijayapura,Karnataka,16.802639,75.722694
"Idgah Hills, Bhopal - MPPCB",2026-09-09,1.2041,1.2191,1.3067,0.95,1.2327,High,Bhopal,Madhya Pradesh,23.264759,77.381568
"Indira Colony Vistar, Pali - RSPCB",2026-09-09,1.8711,1.9487,1.5419,0.97,1.8009,High,Pali,Rajasthan,25.771061,73.340227
